name,rating,user_ratings_total
Applebee's Grill + Bar,4.1,1250.0
PJ's Tavern,4.5,494.0
Sunset 44 Bistro & Banquet,4.7,198.0
Imo's Pizza,4.2,272.0
Panda Chinese Restaurant,4.3,171.0
Starbucks,4.2,260.0
Raising Cane's Chicken Fingers,4.3,984.0
Blues Fired Pizza,4.7,441.0
Jet's Pizza,4.2,251.0
Taco Bell,3.4,434.0
Cafe Provencal,4.6,308.0
Spencer's Grill,4.5,531.0
Culver’s,4.4,2161.0
China King,3.9,133.0
St. Louis Bread Co.,3.9,462.0
QuikTrip,3.5,42.0
Starbucks,4.3,361.0
The Clover and the Bee,4.6,614.0
Taco Bell,3.1,464.0
McDonald's,3.2,996.0
The Art of Entertaining,4.7,122.0
The Sushi Station,4.5,852.0
QDOBA Mexican Eats,3.9,284.0
Hacienda Mexican Restaurant,4.0,2233.0
Robust Bistro & Wine Bar,4.4,347.0
The Block Restaurant Webster Groves,4.5,204.0
Papa Johns Pizza,3.6,140.0
Subway,3.6,60.0
Wendy's,3.8,815.0
Frank Papa's Ristorante,4.7,360.0
Llywelyn's Pub,4.3,1243.0
Farotto's,4.5,970.0
St. Louis Bread Co.,4.0,298.0
Kolache Factory,4.6,689.0
Carl's Drive-In,4.6,855.0
Starbucks,4.3,485.0
Nachomama's,4.1,1131.0
Dunkin',3.5,272.0
St. Louis Bread Co.,3.7,735.0
Cyrano's Cafe,4.5,898.0
Joy Luck Chinese Buffet,3.9,2056.0
Popeyes Louisiana Kitchen,3.2,1301.0
Time For Dinner,4.8,203.0
Dewey's Pizza,4.7,830.0
Taco Bell,3.4,434.0
Trainwreck Saloon,4.4,833.0
To Go Sushi,4.7,142.0
On The Run,2.9,16.0
Katie's Pizza & Pasta – Rock Hill,4.5,1612.0
LuLu Chinese & Dim Sum,3.5,372.0
The Sushi Station,4.5,852.0
Jet's Pizza,4.2,251.0
The Clover and the Bee,4.6,614.0
On The Run,4.2,6.0
Crazy Bowls & Wraps - Now Offering Breakfast!,4.4,332.0
OB. Clark's,4.4,821.0
