name,rating,user_ratings_total
Acero,4.8,476.0
Michael's Bar & Grill,4.6,1979.0
Weber's Front Row,4.2,593.0
Big Sky Cafe,4.6,521.0
Aya Sofia Restaurant,4.4,589.0
Mike Duffy's Pub & Grill Richmond Heights,4.3,516.0
Failoni's Restaurant,4.7,585.0
The Crow's Nest,4.6,1150.0
Foley's Bar & Grill,4.6,246.0
The Side Project Cellar,4.6,341.0
Tapped Social House,4.5,493.0
Schlafly Bottleworks,4.4,980.0
Cusumano's Pizza,3.9,123.0
QDOBA Mexican Eats,3.9,765.0
OB. Clark's,4.4,821.0
The Cue,4.6,210.0
McLain's Corner Bar Grill,4.4,123.0
Bonefish Grill,4.4,2715.0
Colombo's Cafe & Tavern,4.4,131.0
Babe's Tavern & Garden,4.4,145.0
QDOBA Mexican Eats,3.9,648.0
Side Project Brewing,4.7,216.0
The Side Project Patio,5.0,9.0
Chateau Maplewood Wine Bar & Shop,4.9,47.0
Deer Creek Bar & Grill,4.6,135.0
Twin Peaks,4.2,2298.0
Muser's Pub,4.3,93.0
Sal y Limón Mexican Grille,4.0,177.0
Sunny's Cantina,4.7,492.0
Naked Spirits Rum,,
Zoe’s Place,4.7,21.0
Red Robin Gourmet Burgers and Brews,4.1,1755.0
Frisco Barroom,4.4,806.0
Hwy 61 Roadhouse,4.6,821.0
DelPietro's Restaurant,4.5,216.0
Maggiano's Little Italy,4.5,4441.0
Buffalo Wild Wings,3.5,2033.0
Tropicana Lanes,4.1,1567.0
Barcelona Tapas Restaurant,4.2,624.0
Wasabi Sushi Bar Clayton,4.0,306.0
Crushed Red- Clayton,4.3,754.0
The Crossing,4.7,391.0
Half & Half,4.3,1092.0
Frida's and Bonito Bar,4.4,557.0
Mike Duffy's Pub & Grill Richmond Heights,4.3,516.0
Plaza Grill Restaurant,4.4,136.0
The Cigar Club,4.4,32.0
California Pizza Kitchen at St. Louis,4.1,611.0
Coma Coffee Roasters,4.3,506.0
The Capital Grille,4.7,1109.0
Louie's Wine Dive & Clayton Kitchen,4.5,557.0
801 Chophouse,4.6,1073.0
Bonefish Grill,4.4,2715.0
C.J. Mugg's - Clayton,4.2,791.0
OB. Clark's,4.4,821.0
QDOBA Mexican Eats,3.9,651.0
J. McGraugh's Bar & Grill,4.5,194.0
QDOBA Mexican Eats,3.9,765.0
Chef's Express At Schnucks,4.3,55.0
Helium Comedy Club,4.3,1640.0
Elizet Beauty Bar,5.0,203.0
"Mezcaleria Las Chupacabres 25 The Blvd Richmond Heights, MO 63117",4.1,597.0
Peel Wood Fired Pizza,4.4,553.0
IL Palato Italian Restaurant,4.6,121.0
Bemiston Cocktail Club,4.3,34.0
Avenue Restaurant,4.4,294.0
Ivy Cafe,4.7,159.0
the B A O,4.2,433.0
John P. Field’s,3.9,190.0
Red Robin Gourmet Burgers and Brews,4.1,1755.0
Naked Spirits Rum,,
Sal y Limón Mexican Grille,4.0,177.0
Diego’s Cantina,4.2,206.0
DelPietro's Restaurant,4.5,216.0
Twin Peaks,4.2,2298.0
Blueberry Hill,4.3,3123.0
Fitz's Delmar,4.5,5174.0
Frida's and Bonito Bar,4.4,557.0
Barcelona Tapas Restaurant,4.2,624.0
Wasabi Sushi Bar Clayton,4.0,306.0
Crushed Red- Clayton,4.3,754.0
The Crossing,4.7,391.0
Pin-Up Bowl,4.2,550.0
Half & Half,4.3,1092.0
The Cigar Club,4.4,32.0
Three Kings Public House,4.5,1672.0
Elmo's Love Lounge,4.1,877.0
Blue Ocean Restaurant,4.4,1009.0
801 Chophouse,4.6,1073.0
Louie's Wine Dive & Clayton Kitchen,4.5,557.0
The Drink House STL,5.0,7.0
Diego’s Cantina,4.2,206.0
The W Karaoke Lounge,4.3,579.0
Milano hookah lounge,4.7,146.0
Salt + Smoke,4.5,3784.0
G-san kitchen,4.0,51.0
"International Tap House, Delmar",4.5,102.0
John P. Field’s,3.9,190.0
the B A O,4.2,433.0
Ivy Cafe,4.7,159.0
Avenue Restaurant,4.4,294.0
Bemiston Cocktail Club,4.3,34.0
Just Bill's Place Inc,4.4,229.0
Applebee's Grill + Bar,3.9,1367.0
The Crowbar,4.5,145.0
Lowes Entertainment,4.1,111.0
Sonny's Bar,4.4,152.0
T J's Ali-By Inn,4.4,49.0
Lil's Fireside Lounge,4.5,104.0
Charlack Pub,4.6,263.0
The Spot Sports Bar,4.4,142.0
After Hours Bar and Grill,4.3,73.0
Old Timers Saloon,4.3,150.0
OT's Bar,4.2,54.0
Sanbar Tavern,4.0,11.0
Three of A Kind Bar & Grill,4.4,589.0
Capri's Lounge,4.2,19.0
La Herradura De Baule,4.5,33.0
The Req Room Bar and Bistro,4.6,245.0
Juicy's,4.6,16.0
Office,4.3,170.0
Ferguson Brewing Co.,4.6,1248.0
Mimi's Subway Bar and Grill,4.5,342.0
Montrey's Cigar Lounge,4.6,497.0
Lowes Entertainment,4.1,111.0
Burlington,1.0,1.0
Club Xposure,,
La Herradura De Baule,4.5,33.0
Midwest Wine Bar,4.8,56.0
Capri's Lounge,4.2,19.0
Schlafly Beer Bar & Grill - STL Terminal C,2.9,55.0
Perennial Artisan Ales,4.8,391.0
Syberg's Gravois,4.5,1817.0
The Haven,4.6,745.0
Caddy Shack,4.4,81.0
Friendly's Sports Bar - South County,4.1,180.0
The Wedge Tavern,4.5,196.0
The Korner Bar,4.3,155.0
Weber's 8713 Grill & Tap,4.4,501.0
Bar:PM,4.7,236.0
Larry J's,4.5,162.0
The Dry Dock Tavern,4.4,161.0
Fergie's Bar & Restaurant,4.6,577.0
TESSON STATION,4.6,170.0
Kelly's GED 1,4.2,25.0
CT Magoc's,4.5,56.0
Mary's Blue Ribbon Lounge,4.1,80.0
Busch On Tap,,
Tuckers Bar & Grill,4.2,197.0
The Halfway Haus,4.5,188.0
Judy's Velvet Lounge,4.1,39.0
Stacked STL,4.7,3259.0
Wine Down Cafe (St. Louis),4.8,137.0
River City Pub,4.4,166.0
The Off Track Saloon,4.6,427.0
Hummel's Pub,4.6,94.0
Doc Haus,4.4,99.0
The Mack (Bar & Grill),4.5,581.0
Onesto Pizza & Trattoria,4.6,588.0
Aya Sofia Restaurant,4.4,589.0
Syberg's Gravois,4.5,1817.0
Pueblo Solis,4.3,575.0
Salt + Smoke,4.5,1870.0
JJ Twig's Pizza & Pub,4.5,520.0
Vino Teca Inc,4.0,1.0
Caddy Shack,4.4,81.0
The Haven,4.6,745.0
Weber's 8713 Grill & Tap,4.4,501.0
QDOBA Mexican Eats,3.9,648.0
The Famous Bar,4.5,318.0
Bono's Pizzeria,4.3,463.0
Barney's Sports Pub,4.2,203.0
Rockwell Beer Garden,4.4,195.0
Seven Leaf,5.0,45.0
The 09 Pub,4.6,105.0
Weber's Bar,4.6,28.0
Stan's Bar,4.4,222.0
Smoking Barrels BBQ,4.3,599.0
Karaoke,,
River City Pub,4.4,166.0
Novella Wine Bar,4.9,148.0
Triple Crown Café,5.0,5.0
Pepper's Bar & Grill,4.4,711.0
DB Cooper's Safe House,4.8,836.0
Keetons Double Play,4.4,253.0
Busch On Tap,,
CT Magoc's,4.5,56.0
Cotter's Sports Bar and Karaoke Lounge,4.4,237.0
Doc Haus,4.4,99.0
Zoe’s Place,4.7,21.0
Level Coffee Bar,4.1,13.0
Zia's on The Hill,4.6,3203.0
O'Connell's Pub,4.5,1535.0
Nick's Pub,4.3,1108.0
Farmhaus Restaurant,4.7,348.0
The Royale Food & Spirits,4.5,943.0
Ari's Restaurant & Bar,4.3,774.0
Amsterdam Tavern,4.6,641.0
Pop's Blue Moon,4.6,35.0
Milo's Tavern,4.6,781.0
Failoni's Restaurant,4.7,585.0
Alpha Brewing Company,4.5,328.0
Bomber O'Brien's Sports Bar & Grill,4.3,457.0
SOHA Bar and Grill,4.4,735.0
Trophy Room,4.2,258.0
Colombo's Cafe & Tavern,4.4,131.0
The Famous Bar,4.5,318.0
Lou Boccardi's Restaurant,3.9,218.0
The Hideaway,4.5,315.0
Ryan's Corner Pub,4.5,88.0
Falcon’s Social Club,5.0,8.0
The Tavern @ Clifton Heights,4.4,60.0
Carnivore STL,4.5,876.0
Silverleaf,4.6,106.0
Oliva on the Hill,4.7,135.0
Zoe’s Place,4.7,21.0
Babe's Tavern & Garden,4.4,145.0
Tower Pub,4.6,430.0
Arena Bar,4.4,129.0
Muser's Pub,4.3,93.0
Sunny's Cantina,4.7,492.0
Barney's Sports Pub,4.2,203.0
Stella Blues LLC,4.5,551.0
City Park Grill,4.5,946.0
Tres Equis,4.6,34.0
Karaoke,,
The Golden Hoosier,4.6,593.0
Deja Vu Hookah Lounge,5.0,1.0
The Pageant,4.6,3171.0
Seamus McDaniel's,4.5,1849.0
Blueberry Hill,4.3,3123.0
Fitz's Delmar,4.5,5174.0
Olympia Kebob House and Taverna,4.4,1753.0
Basso,4.4,874.0
Nick's Pub,4.3,1108.0
Mike Duffy's Pub & Grill Richmond Heights,4.3,516.0
Pin-Up Bowl,4.2,550.0
The Pat Connolly Tavern,4.5,833.0
Sasha's Wine Bar,4.4,513.0
Par Lounge,4.0,176.0
The Cigar Club,4.4,32.0
Failoni's Restaurant,4.7,585.0
Three Kings Public House,4.5,1672.0
Michael's Bar & Grill,4.6,1979.0
Fox & Hounds Tavern,4.6,209.0
Ruthie's Bar & Grill,4.3,16.0
QDOBA Mexican Eats,3.9,651.0
Delmar Hall,4.7,1337.0
Tamm Avenue Bar,4.6,584.0
Blue Ocean Restaurant,4.4,1009.0
801 Chophouse,4.6,1073.0
Heavy Riff Brewing Company,4.6,608.0
Colombo's Cafe & Tavern,4.4,131.0
The Capital Grille,4.7,1109.0
Rays,,
Wild Lemons,5.0,1.0
DelPietro's Restaurant,4.5,216.0
G-san kitchen,4.0,51.0
Magic Mini Golf,5.0,2.0
Stone Turtle Restaurant and Bar,4.5,568.0
"International Tap House, Delmar",4.5,102.0
Milano hookah lounge,4.7,146.0
Salt + Smoke,4.5,3784.0
The W Karaoke Lounge,4.3,579.0
Red Sea 2.0,4.2,6.0
Blue Dine And Lounge,4.1,141.0
Palomino Lounge,4.3,79.0
Arena Bar,4.4,129.0
Sunny's Cantina,4.7,492.0
The Pageant,4.6,3171.0
Blueberry Hill,4.3,3123.0
Fitz's Delmar,4.5,5174.0
Pin-Up Bowl,4.2,550.0
Three Kings Public House,4.5,1672.0
Delmar Hall,4.7,1337.0
Legacy Bar & Grill,4.5,438.0
Club Vision,4.4,183.0
Blue Ocean Restaurant,4.4,1009.0
Warehouse West,4.7,30.0
Spraggins Lounge,5.0,1.0
Spodie's Lounge,4.8,34.0
R & B Hideout Bar & Grill,,
Zonemusic Famyalty,,
Daiqs Bar & Grill,4.8,70.0
Two of A Kind 2,4.2,114.0
The Nation Bar And Grill,4.4,377.0
Vibezz Kitchen & Hookah Lounge,,
Blue Dine And Lounge,4.1,141.0
Palomino Lounge,4.3,79.0
Red Sea 2.0,4.2,6.0
The Drink House STL,5.0,7.0
City Magic Cocktail Lounge & Restaurant,4.2,131.0
Magic Mini Golf,5.0,2.0
"International Tap House, Delmar",4.5,102.0
G-san kitchen,4.0,51.0
Salt + Smoke,4.5,3784.0
Beulah's Red Velvet Lounge,3.6,33.0
Milano hookah lounge,4.7,146.0
The W Karaoke Lounge,4.3,579.0
Lowes Entertainment,4.1,111.0
Whalens bar,4.2,59.0
Zonemusic Famyalty,,
Capri's Lounge,4.2,19.0
After Hours Bar and Grill,4.3,73.0
Spodie's Lounge,4.8,34.0
Ferguson Brewing Co.,4.6,1248.0
New York Grill,4.0,816.0
Montrey's Cigar Lounge,4.6,497.0
Mimi's Subway Bar and Grill,4.5,342.0
Dellwood Lounge,4.5,192.0
Midwest Wine Bar,4.8,56.0
Bar 922,4.5,491.0
The Gavel-STL,4.6,27.0
Perennial Artisan Ales,4.8,391.0
Bar:PM,4.7,236.0
Pooh's Corner,4.3,109.0
TESSON STATION,4.6,170.0
Members Only Lounge STL,4.8,28.0
Hummel's Pub,4.6,94.0
The Off Track Saloon,4.6,427.0
Red's Eighth Inning Bar,4.6,139.0
Blumenthal Building,5.0,1.0
Wine Down Cafe (St. Louis),4.8,137.0
Stacked STL,4.7,3259.0
Little Bar,4.6,96.0
The Halfway Haus,4.5,188.0
Off Fifty Five Bar & Grill,4.6,90.0
Tuckers Bar & Grill,4.2,197.0
Judy's Velvet Lounge,4.1,39.0
Bar M.C,4.5,2.0
The Haunt,4.6,332.0
JD's Corner,4.4,31.0
Das Bevo,4.1,717.0
Civil Life Brewing Co.,4.9,547.0
The Mack (Bar & Grill),4.5,581.0
The Original Crusoe's Restaurant & Patrick McKeane's Pub,4.3,1234.0
Onesto Pizza & Trattoria,4.6,588.0
The Heavy Anchor,4.6,465.0
The Silver Ballroom,4.7,526.0
Bomber O'Brien's Sports Bar & Grill,4.3,457.0
Friendly's Sports Bar & Grill,4.4,733.0
The Haven,4.6,745.0
The Stellar Hog,4.7,706.0
Slackers Bar & Grill,3.9,17.0
Pepper's Bar & Grill,4.4,711.0
Time Out Bar & Grill,3.9,365.0
Pooh's Corner,4.3,109.0
Doc Haus,4.4,99.0
Tim's Chrome Bar,4.4,87.0
bevo mill,4.5,6.0
STL Brewhogs,5.0,1.0
Ray's Bar,4.7,67.0
Skala Bar,3.8,42.0
Bar Infinity,5.0,2.0
Hollywood Restaurant Bar & Grill,4.0,7.0
Krajina Restaurant & Bar,4.8,69.0
Lucky Duck,5.0,1.0
Sports Zone Bevo,4.4,142.0
Level Coffee Bar,4.1,13.0
Tiny Chef,4.9,128.0
DB Cooper's Safe House,4.8,836.0
Bar M.C,4.5,2.0
Keetons Double Play,4.4,253.0
