eventID,time,filename
212,14132,visit: python - view and then close the figure automatically in matplotlib? - Stack Overflow;
215,14430,search: windows path strip image name;
216,14435,visit: c - How to remove filename from path in Windows File Filter Driver? - Stack Overflow;
217,14441,research: windows path strip image name;
218,14442,visit: Redirecting to Microsoft.com;
219,14458,research: windows path strip image name;
220,14552,search: how to grab a file name from a pil image path;
221,14553,"visit: python - Extract file name from path, no matter what the os/path format - Stack Overflow;"
223,14704,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
224,14828,search: torchvision.datasets.ImageFolder;
225,14832,visit: ImageFolder — Torchvision 0.14 documentation;
226,14899,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
227,15058,revisit: ImageFolder — Torchvision 0.14 documentation;
230,15220,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
237,15759,search: make directory within directory python;
238,15762,visit: Create a directory in Python - GeeksforGeeks;
239,15830,search: FileNotFoundError: [WinError 3] The system cannot find the path specified;
240,15831,visit: python 3.x - FileNotFoundError: [WinError 3] The system cannot find the path specified: - Stack Overflow;
247,16210,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
254,17779,search: import python file as module;
255,17783,visit: Python 3: Import Another Python File as a Module — Computer Science Atlas;
260,18574,search: common pytorch cnn model;
261,18578,visit: Convolutional Neural Network Pytorch | CNN Using Pytorch;
262,18767,research: common pytorch cnn model;
263,18788,visit: PyTorch CNN: The Basics and a Quick Tutorial;
264,18849,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
265,19110,search: general cnn architecture for image classification pytorch;
266,19115,visit: Implementation of a CNN based Image Classifier using PyTorch - GeeksforGeeks;
267,20826,search: how to visualize batch size and epochs;
268,20843,"visit: Epochs, Iterations and Batch Size | Deep Learning Basics - YouTube;"
271,21447,revisit: Start Locally | PyTorch;
272,21469,revisit: Implementation of a CNN based Image Classifier using PyTorch - GeeksforGeeks;
273,21554,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
274,21783,search: difference between adam and sgd;
275,21798,visit: Adam vs. SGD: Closing the generalization gap on image classification;
276,22014,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
277,22086,visit: Serialization semantics — PyTorch 1.13 documentation;
278,22132,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
281,23736,revisit: Building Models with PyTorch - YouTube;
284,26371,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
285,26373,revisit: Adam vs. SGD: Closing the generalization gap on image classification;
286,26385,search: how to load pth file pytorch;
287,26387,visit: python - How to load .pth file? - Stack Overflow;
288,26404,research: how to load pth file pytorch;
289,26405,visit: Saving and Loading Models — PyTorch Tutorials 1.12.1+cu102 documentation;
290,26640,search: load pth file pytorch and testng;
291,26648,visit: How to test image for classification on my pretrained CNN .pth file - vision - PyTorch Forums;
292,26669,visit: How to test image for classification on my pretrained CNN .pth file - #2 by ptrblck - vision - PyTorch Forums;
293,26689,revisit: 04. PyTorch Custom Datasets - Zero to Mastery Learn PyTorch for Deep Learning;
294,26713,revisit: Training a Classifier — PyTorch Tutorials 1.13.0+cu117 documentation;
304,27670,search: making a confusion matrix pytorch;
305,27675,visit: Confusion Matrix — PyTorch-Metrics 0.10.3 documentation;
306,27687,research: making a confusion matrix pytorch;
307,27691,visit: PyTorch Confusion Matrix for multi-class image classification - Knowledge Transfer;
308,27903,search: scikit learn confusion matrix;
309,27904,visit: sklearn.metrics.confusion_matrix — scikit-learn 1.1.3 documentation;
310,27966,revisit: PyTorch Confusion Matrix for multi-class image classification - Knowledge Transfer;
